DEBUG:comtypes:CoInitializeEx(None, 2)
INFO:comtypes.client._code_cache:Could not import comtypes.gen, trying to create it.
INFO:comtypes.client._code_cache:Created comtypes.gen directory: 'C:\Users\Harry\AppData\Local\Programs\Python\Python39\lib\site-packages\comtypes\gen'
INFO:comtypes.client._code_cache:Writing __init__.py file: 'C:\Users\Harry\AppData\Local\Programs\Python\Python39\lib\site-packages\comtypes\gen\__init__.py'
INFO:comtypes.client._code_cache:Using writeable comtypes cache directory: 'C:\Users\Harry\AppData\Local\Programs\Python\Python39\lib\site-packages\comtypes\gen'
DEBUG:comtypes.client:SAPI.SpVoice -> {96749377-3391-11D2-9EE3-00C04F797396}
DEBUG:comtypes.client:CoCreateInstance({96749377-3391-11D2-9EE3-00C04F797396}, clsctx=None, interface=None)
DEBUG:comtypes.client:GetBestInterface(<POINTER(IUnknown) ptr=0x1c615d20b40 at 1c615aebec0>)
DEBUG:comtypes.client:Does implement IProvideClassInfo
DEBUG:comtypes.client:Default interface is {269316D8-57BD-11D2-9EEE-00C04F797396}
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46fe0 at 1c615c60640>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60dc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47248 at 1c615c604c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615b3ddc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a471f0 at 1c615c60540>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47198 at 1c615b3dcc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47248 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c602c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47350 at 1c615c60140>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a471f0 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615b3dcc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a472f8 at 1c615c600c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a472a0 at 1c615b3ddc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47350 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a471f0 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615b3ddc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47400 at 1c615c60540>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a473a8 at 1c615b3dcc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a471f0 at 1c615b3dcc0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615b3ddc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a474b0 at 1c615c609c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47458 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46ed8 at 1c615c60440>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46e28 at 1c615c60440>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46fe0 at 1c615c60440>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46f88 at 1c615c60bc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a471f0 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615b3ddc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47560 at 1c615c60c40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47508 at 1c615b3dcc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47560 at 1c615b3dcc0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615b3ddc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47610 at 1c615c60cc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a475b8 at 1c615b3dec0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c6d5c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47718 at 1c615c6d040>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614ad5918 at 1c615c606c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c604c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a476c0 at 1c615c60740>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47668 at 1c615c60ac0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c60ac0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c602c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c60440>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a46b10 at 1c615c60ac0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47198 at 1c615c602c0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47198 at 1c615c60440>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60ac0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47770 at 1c615c60640>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47770 at 1c615c60e40>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60640>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a477c8 at 1c615c60dc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a477c8 at 1c615c60440>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47770 at 1c615c60e40>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47770 at 1c615c600c0>
DEBUG:comtypes:Release <POINTER(ITypeLib) ptr=0x1c614893940 at 1c615c60bc0>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47820 at 1c615c60340>
DEBUG:comtypes:Release <POINTER(ITypeInfo) ptr=0x1c614a47198 at 1c615c6d2c0>
